Facility_uid,Facility_name,Facility_uid,Level,Ownership,Authority,Coordinates,Subcounty_uid,Subcounty_name,District_uid,District_name,Region_uid,Region_name
nTJpfeWnKQA,Nyero COU HC II,nTJpfeWnKQA,HC II,Private Not For Profit,UPMB,"[33.86683,1.47382]",Q9dlhYRxdUL,Nyero Subcounty,saT18HClZoz,Kumi District,adZ6T35ve4h,Eastern Region
ehjI0b4szUT,Nyero HC III,ehjI0b4szUT,HC III,Government,MOH,"[33.8649,1.48458]",Q9dlhYRxdUL,Nyero Subcounty,saT18HClZoz,Kumi District,adZ6T35ve4h,Eastern Region
aKyrbNsmNnT,Nyimbwa HC IV,aKyrbNsmNnT,HC IV,Government,MOH,"[32.487199,0.877101]",OpD74f0SyGI,Nyimbwa Subcounty,tr9XWtYsL5P,Luwero District,VA90IqaI4Ji,Central Region
XxyoY0S6AET,Nyondo Clinic HC IINR,XxyoY0S6AET,,,,,zNdkt1W9dcu,Kampala Central Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
vaNMmgaScuW,Nyondo HC III,vaNMmgaScuW,HC III,Private Not For Profit,UCMB,"[34.224808,0.982881]",VTWueywhLKE,Nyondo Subcounty,yuo5ielNL7W,Mbale District,adZ6T35ve4h,Eastern Region
iWJI9r3QCDh,Nyongozi HC II,iWJI9r3QCDh,HC II,Government,MOH,"[30.325502,-0.781228]",oUbjAL1F0oh,Itojo Subcounty,hAoe9dhZh9V,Ntungamo District,auJdpeHbeet,Western Region
GTpX3fXgyQK,Nytil Southern Range Nyanza Clinic,GTpX3fXgyQK,Clinic,Private For Profit,Local Government,,u15TM0AiEC3,Njeru Town Council,x75Yh65MaUa,Buikwe District,VA90IqaI4Ji,Central Region
erF2OyUegBr,Nyumanzi A HC II (Closed),erF2OyUegBr,HC II,NGO,,"[31.94586,3.45355]",AbV5pHHSFTU,Dzaipi Subcounty,QYiQ2KqgCxj,Adjumani District,pz9Uu65Irbg,Northern Region
RHkry0Pxk7e,Nyumanzi HC II,RHkry0Pxk7e,HC II,Private Not For Profit,Local Government,"[31.94523,3.456357]",AbV5pHHSFTU,Dzaipi Subcounty,QYiQ2KqgCxj,Adjumani District,pz9Uu65Irbg,Northern Region
Is8ASZXQyfm,Nzamizi HC III,Is8ASZXQyfm,HC III,Government,MOH,"[32.46301,0.06575]",RTxq0C3ff1y,Entebbe Division A,aIahLLmtvgT,Wakiso District,VA90IqaI4Ji,Central Region
rbxGtvw8E8X,Obalanga HC III,rbxGtvw8E8X,HC III,Government,MOH,"[33.59197,2.20505]",jpCB71nqbJu,Obalanga Subcounty,TM6ccNxawqy,Amuria District,adZ6T35ve4h,Eastern Region
hdrTrRDuwOU,Ober HC III,hdrTrRDuwOU,HC III,Government,MOH,"[32.87364,2.25697]",UNiDU0Y3r2i,Ojwina Division,Lj8t70RYnEt,Lira District,pz9Uu65Irbg,Northern Region
OJYXXSC87rV,Oberabic HC II,OJYXXSC87rV,HC II,Private Not For Profit,UPMB,"[31.96572,2.91766]",acwO6ZCWJj7,Amuru Subcounty,C0RSe3EWBqU,Amuru District,pz9Uu65Irbg,Northern Region
xjvcw4ygnRy,Obilokongo HC II,xjvcw4ygnRy,HC II,Government,MOH,"[31.729844,3.273496]",fSyCcycKdSl,Adropi Subcounty,QYiQ2KqgCxj,Adjumani District,pz9Uu65Irbg,Northern Region
FkHL59DWIav,Obim Rock HC II,FkHL59DWIav,HC II,Government,MOH,"[32.98760,2.36034]",aizpwKYoKtN,Apala Subcounty,p7EEgDEX3jT,Alebtong District,pz9Uu65Irbg,Northern Region
M1mMjZQziEs,Obofia HC II,M1mMjZQziEs,HC II,Government,MOH,"[31.08518,3.20149]",vwDbo5apOm9,Aii-Ivu Subcounty,WcB3kLlgRTb,Arua District,pz9Uu65Irbg,Northern Region
nrLW9kL9BT2,Obongi HC IV,nrLW9kL9BT2,HC IV,Government,MOH,"[31.49298,3.25326]",aIcEOOsCdQz,Gimara Subcounty,W0kQBddyGyh,Moyo District,pz9Uu65Irbg,Northern Region
v4Zgul4VlRC,Obule HC II,v4Zgul4VlRC,HC II,Private Not For Profit,CSO,"[33.54672,1.63442]",wDG9YN30TtI,Asuret Subcounty,srmGjHrpVE5,Soroti District,adZ6T35ve4h,Eastern Region
ZSczOvaCJ29,Oburin HC II,ZSczOvaCJ29,HC II,Government,MOH,"[33.51268,1.53778]",ERioiaRYt58,Olio Subcounty,zJfpujxC1kD,Serere District,adZ6T35ve4h,Eastern Region
a6dy90zDFD5,Obutete HC II,a6dy90zDFD5,HC II,Government,MOH,"[33.57024,1.26844]",e4XWNDjKUXH,Gogonyo Subcounty,WiVj4bEhX4P,Pallisa District,adZ6T35ve4h,Eastern Region
GFklTLJ61aK,Obyen HC II,GFklTLJ61aK,HC II,Government,MOH,"[33.0551660,3.3287273]",K1ZKgCaz0Hd,Kitgum Matidi Subcounty,pnTVIF5v27r,Kitgum District,pz9Uu65Irbg,Northern Region
hkxODp6OZ1E,Ocan Community Clinic,hkxODp6OZ1E,Clinic,Private For Profit,Local Government,,RHEU4J1wJiy,Awei Subcounty,p7EEgDEX3jT,Alebtong District,pz9Uu65Irbg,Northern Region
PJAn1P5SMrd,Ocea HC II,PJAn1P5SMrd,HC II,Government,MOH,"[31.28221,3.076068]",qD90qvNgVtw,Rigbo Subcounty,WcB3kLlgRTb,Arua District,pz9Uu65Irbg,Northern Region
JuLeapjBevh,Ochelakur HC II,JuLeapjBevh,HC II,Government,MOH,"[33.37182,1.74504]",yha3MhpqPH1,Bululu Subcounty,QoRZB7xc3j9,Kaberamaido District,adZ6T35ve4h,Eastern Region
KvXYJPmLbrw,Ochero Clinic,KvXYJPmLbrw,Clinic,Private For Profit,,,Q94ayRFilbA,Ochero Subcounty,QoRZB7xc3j9,Kaberamaido District,adZ6T35ve4h,Eastern Region
rPMkkecqjqx,Ochero HC III,rPMkkecqjqx,HC III,Government,MOH,"[33.01362,1.68243]",Q94ayRFilbA,Ochero Subcounty,QoRZB7xc3j9,Kaberamaido District,adZ6T35ve4h,Eastern Region
jcEuyATQbMK,Ococia (Orungo) St. Clare HC III,jcEuyATQbMK,HC III,Private Not For Profit,UCMB,"[33.47200,2.06038]",p1iOb5SBsBd,Ogolai Subcounty,TM6ccNxawqy,Amuria District,adZ6T35ve4h,Eastern Region
PmFgAvnih83,Ocokican HC II,PmFgAvnih83,HC II,Government,MOH,"[33.50042,1.64537]",wDG9YN30TtI,Asuret Subcounty,srmGjHrpVE5,Soroti District,adZ6T35ve4h,Eastern Region
RyuiNh0Ldqs,Odek HC III,RyuiNh0Ldqs,HC III,Government,MOH,"[32.72580,2.6851]",acQJJL9aUo0,Odek Subcounty,S5fvUXgY54J,Omoro District,pz9Uu65Irbg,Northern Region
s21e0ARLfsE,Odokomit HC II,s21e0ARLfsE,HC II,Government,MOH,"[33.346190,2.911804]",nmK9yk0kjmP,Kotomor Subcounty,ztIyIYAzFKp,Agago District,pz9Uu65Irbg,Northern Region
C8i6PL7Rmim,Odokonyero HC II,C8i6PL7Rmim,HC II,Government,MOH,"[32.106284,2.964551]",EgcvIoAN7Ti,Pabbo Subcounty,C0RSe3EWBqU,Amuru District,pz9Uu65Irbg,Northern Region
cP60sZpyWCs,Odraka HC II,cP60sZpyWCs,HC II,Government,MOH,"[31.12135,2.83285]",aBmWpMfBVjr,Ogoko Subcounty,WcB3kLlgRTb,Arua District,pz9Uu65Irbg,Northern Region
GydLR8lY7Qw,Oduobu HC III,GydLR8lY7Qw,HC III,Government,MOH,"[31.34723,3.1321]",qD90qvNgVtw,Rigbo Subcounty,WcB3kLlgRTb,Arua District,pz9Uu65Irbg,Northern Region
gohwVnGiMuE,Odupi HC III,gohwVnGiMuE,HC III,Government,MOH,"[30.954979,3.008899]",Fi0oIAe06s4,Odupi Subcounty,WcB3kLlgRTb,Arua District,pz9Uu65Irbg,Northern Region
UM89r9fnGi3,Odupiri HC II,UM89r9fnGi3,HC II,,,,OR4TRYV75lr,Tara Subcounty,WyR8Eetj7Uw,Maracha District,pz9Uu65Irbg,Northern Region
gkUm0zE8vDx,Offaka HC III,gkUm0zE8vDx,HC III,Government,MOH,"[31.02975,2.63948]",muPPh3RbpBj,Offaka Subcounty,WcB3kLlgRTb,Arua District,pz9Uu65Irbg,Northern Region
BSrrPPLiBZo,Ofua HC III,BSrrPPLiBZo,HC III,Government,MOH,"[31.785253,3.25808]",azZk0TJOe3j,Ofua Subcounty,QYiQ2KqgCxj,Adjumani District,pz9Uu65Irbg,Northern Region
cYnbNkuMQpk,Ogago HC II,cYnbNkuMQpk,HC II,Government,MOH,"[33.07548,2.98064]",elu8zUTsqIW,Pajule Subcounty,aBrjuZk0W31,Pader District,pz9Uu65Irbg,Northern Region
p1DN5s8Iw8F,Ogako HC II,p1DN5s8Iw8F,HC II,Government,MOH,"[32.89405,3.46608]",b24YFQUhFfF,Padibe East Subcounty,xy0M4HhjXtD,Lamwo District,pz9Uu65Irbg,Northern Region
avy7joRGT2x,Ogoko HC II,avy7joRGT2x,HC II,Government,MOH,"[31.212652,2.884883]",aBmWpMfBVjr,Ogoko Subcounty,WcB3kLlgRTb,Arua District,pz9Uu65Irbg,Northern Region
yWr81raAy6g,Ogolo HC II,yWr81raAy6g,HC II,Government,MOH,"[31.98482,3.55195]",ZCER8MJ2DeP,Arinyapi Subcounty,QYiQ2KqgCxj,Adjumani District,pz9Uu65Irbg,Northern Region
a8uXeqmtFD9,Ogolokwara/Ajaki HC II,a8uXeqmtFD9,HC II,Government,MOH,"[33.70374,2.09925]",fu6SGxjqBEm,Apeduru Subcounty,TM6ccNxawqy,Amuria District,adZ6T35ve4h,Eastern Region
au4iSDaT4wv,Ogom HC III,au4iSDaT4wv,HC III,Government,MOH,"[33.08464,2.97002]",qbyIofSU5tA,Ogom  Subcounty,aBrjuZk0W31,Pader District,pz9Uu65Irbg,Northern Region
afJ9NgYTYDa,Ogonyo HC III,afJ9NgYTYDa,HC III,Government,MOH,"[33.01208,2.60378]",CyUUpNIQ98L,Puranga Subcounty,aBrjuZk0W31,Pader District,pz9Uu65Irbg,Northern Region
sFV4leNjV3M,Ogooma HC II,sFV4leNjV3M,HC II,Government,MOH,,Q9dlhYRxdUL,Nyero Subcounty,saT18HClZoz,Kumi District,adZ6T35ve4h,Eastern Region
KoFsKTrBNe7,Ogua HC II,KoFsKTrBNe7,HC II,Government,MOH,"[31.02365,3.14133]",vwDbo5apOm9,Aii-Ivu Subcounty,WcB3kLlgRTb,Arua District,pz9Uu65Irbg,Northern Region
aRxadClWcFM,Ogur HC IV,aRxadClWcFM,HC IV,Government,MOH,"[32.93588,2.44195]",MaMG7y4TKz4,Ogur Subcounty,Lj8t70RYnEt,Lira District,pz9Uu65Irbg,Northern Region
p9ELIhXnwzY,Ogur Youth Information and Comm.Centre,p9ELIhXnwzY,Clinic,NGO,CSO,,MaMG7y4TKz4,Ogur Subcounty,Lj8t70RYnEt,Lira District,pz9Uu65Irbg,Northern Region
ZVgz9dP8OF6,Oguta HC II,ZVgz9dP8OF6,HC II,Government,MOH,"[32.92101,3.02928]",elu8zUTsqIW,Pajule Subcounty,aBrjuZk0W31,Pader District,pz9Uu65Irbg,Northern Region
ifSPcuzT8Iw,Ogwang Kamolo HC II,ifSPcuzT8Iw,HC II,Government,MOH,"[33.44147,2.94263]",qUDCFxUq4uw,Lapono Subcounty,ztIyIYAzFKp,Agago District,pz9Uu65Irbg,Northern Region
xa8AvzwrPSi,Ogwete HC II,xa8AvzwrPSi,HC II,Government,MOH,"[33.59751,2.39483]",ag7SEvoulDA,Olilim Subcounty,aXjub1BYn1y,Otuke District,pz9Uu65Irbg,Northern Region
F2C1BkGVMSW,Oitino HC II,F2C1BkGVMSW,HC II,Government,MOH,"[32.23530,2.80714]",LNkFivzpeA1,Bungatira Subcounty,Gwk4wkLz7EW,Gulu District,pz9Uu65Irbg,Northern Region
jgS1yAtN6HR,Oje Mission  HC III,jgS1yAtN6HR,HC III,Private Not For Profit,UCMB,"[30.80566,3.04931]",iTWrGnwCEOJ,Adumi Subcounty,WcB3kLlgRTb,Arua District,pz9Uu65Irbg,Northern Region
OXJypFooGIf,Ojele Medical Centre HC II,OXJypFooGIf,HC II,Private For Profit,,,KGfsBIXqGWC,Kahoora Division,PJFtfCyp6Rb,Hoima District,auJdpeHbeet,Western Region
DEMEh3VEW72,Ojom HC II,DEMEh3VEW72,HC II,Government,MOH,"[33.53648,1.84163]",BynI1aokvo2,Katine Subcounty,srmGjHrpVE5,Soroti District,adZ6T35ve4h,Eastern Region
kJ8CMUMloVu,Okidi HC II,kJ8CMUMloVu,HC II,Government,MOH,"[32.15234,3.27547]",ftLtvhHg24p,Attiak Subcounty,C0RSe3EWBqU,Amuru District,pz9Uu65Irbg,Northern Region
MxcpmhA0rrA,Okidi HC III,MxcpmhA0rrA,HC III,Government,MOH,"[32.82327,3.214500]",awkC6nEZfiH,Labongo Amida Subcounty,pnTVIF5v27r,Kitgum District,pz9Uu65Irbg,Northern Region
aCeYBPSHvrT,Okinga HC II,aCeYBPSHvrT,HC II,Government,MOH,"[32.88410,3.13736]",IcEOvr6u0b6,Acholibur Subcounty,aBrjuZk0W31,Pader District,pz9Uu65Irbg,Northern Region
bVlV8NMWfoE,Okoboi HC II,bVlV8NMWfoE,HC II,Government,MOH,"[33.85373,2.29253]",bAAsA9G7rGX,Kapelebyong Subcounty,TM6ccNxawqy,Amuria District,adZ6T35ve4h,Eastern Region
IRSPu9HXn42,Okocho HC II,IRSPu9HXn42,HC II,Government,MOH,"[34.04855,2.13145]",bZBIK5nSjJS,Ongongoja Subcounty,cSrCFjPKqcG,Katakwi District,adZ6T35ve4h,Eastern Region
t7sCLD2E7gA,Okol HC II,t7sCLD2E7gA,HC II,Government,MOH,"[33.16823,3.56544]",dXbVDDOMeOX,Madi Opei Subcounty,xy0M4HhjXtD,Lamwo District,pz9Uu65Irbg,Northern Region
alhzoKRyLzY,Okole HC II,alhzoKRyLzY,HC II,Government,MOH,"[32.68120,2.27672]",uNDDSxipolZ,Kole Town Council,Y4LV8xqkv6J,Kole District,pz9Uu65Irbg,Northern Region
gR6hAZ1p9oi,Okollo Refugee HC III,gR6hAZ1p9oi,HC III,Government,MOH,"[31.1474,2.65821]",NmKQP1XcgKJ,Okollo Subcounty,WcB3kLlgRTb,Arua District,pz9Uu65Irbg,Northern Region
LPjcTTbfcGL,Okunggedi HC II,LPjcTTbfcGL,HC II,Government,MOH,"[31.9387,2.88091]",acwO6ZCWJj7,Amuru Subcounty,C0RSe3EWBqU,Amuru District,pz9Uu65Irbg,Northern Region
qf3PsPmID7d,Okuyo HC II,qf3PsPmID7d,HC II,Government,MOH,"[31.33227,3.30896]",GUNcDwlsQYQ,Ariwa SubCounty,W1JM2Qdhcv3,Yumbe District,pz9Uu65Irbg,Northern Region
fN5JzGLE8gv,Okwadoko HC II,fN5JzGLE8gv,HC II,Government,,,EJCiKQCS6WT,Wol Subcounty,ztIyIYAzFKp,Agago District,pz9Uu65Irbg,Northern Region
jmYDcub8QTz,Okwang HC III,jmYDcub8QTz,HC III,Government,MOH,"[33.14869,2.6032]",PrIDcobIQsW,Okwang Subcounty,aXjub1BYn1y,Otuke District,pz9Uu65Irbg,Northern Region
aqHWU5eZqU1,Okwongo HC III,aqHWU5eZqU1,HC III,Government,MOH,"[33.26451,2.51075]",oslXMLLbQdv,Adwari Subcounty,aXjub1BYn1y,Otuke District,pz9Uu65Irbg,Northern Region
aWvwk5Qpfyi,Oladot HC II,aWvwk5Qpfyi,HC II,Government,MOH,"[33.86231,1.2423]",igvemwDsp2j,Opwateta Subcounty,WiVj4bEhX4P,Pallisa District,adZ6T35ve4h,Eastern Region
pp2tEHamY9h,Old Kampala Hospital HC IV,pp2tEHamY9h,General Hospital,,UMMB,,zNdkt1W9dcu,Kampala Central Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
bljty0SyQvL,Old Kampala Police Clinic,bljty0SyQvL,HC II,Government,Police,,zNdkt1W9dcu,Kampala Central Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
bq8JZONb0MA,Oleba HC III,bq8JZONb0MA,HC III,Government,MOH,"[30.92827,3.30081]",CPvpbCc51Aw,Oleba Subcounty,WyR8Eetj7Uw,Maracha District,pz9Uu65Irbg,Northern Region
hGkzDlFnBcB,Olelpek HC II,hGkzDlFnBcB,HC II,Government,MOH,"[32.54284,1.89273]",fXF5EXLOSdC,Apac Subcounty,JyZJhGXKeEq,Apac District,pz9Uu65Irbg,Northern Region
ANWyMZqBETz,oli,ANWyMZqBETz,,,,"[30.90711,3.03331]",g4jN39Mu4K8,Oli River Division,WcB3kLlgRTb,Arua District,pz9Uu65Irbg,Northern Region
OsXGo2furEb,Olia HC II,OsXGo2furEb,HC II,Government,MOH,"[31.90636,3.36454]",kRF4X846xVW,Pakele Subcounty,QYiQ2KqgCxj,Adjumani District,pz9Uu65Irbg,Northern Region
gHgAmLu49BZ,Olilim HC II,gHgAmLu49BZ,HC II,Government,MOH,"[34.11582,2.0253]",B4c4U2wA0w0,Palam Sub-County,cSrCFjPKqcG,Katakwi District,adZ6T35ve4h,Eastern Region
G0lOXzOa53Q,Olilim HC III,G0lOXzOa53Q,HC III,Government,MOH,"[33.50511,2.4486]",ag7SEvoulDA,Olilim Subcounty,aXjub1BYn1y,Otuke District,pz9Uu65Irbg,Northern Region
aqG8bVVJdXW,Olimai CBO HC III,aqG8bVVJdXW,HC III,Private Not For Profit,CSO,"[33.89383,1.36235]",aJjvRZT2AqT,Kanyum Subcounty,saT18HClZoz,Kumi District,adZ6T35ve4h,Eastern Region
a4QeS81YJ8z,Olinga HC II,a4QeS81YJ8z,HC II,Government,MOH,"[32.03213,3.06228]",EgcvIoAN7Ti,Pabbo Subcounty,C0RSe3EWBqU,Amuru District,pz9Uu65Irbg,Northern Region
f2Whd5ubYn8,Olivu HC II,f2Whd5ubYn8,HC II,Private For Profit,Local Government,"[30.98577,3.02739]",qD90qvNgVtw,Rigbo Subcounty,WcB3kLlgRTb,Arua District,pz9Uu65Irbg,Northern Region
TkgfXWHv2CD,Olok HC II,TkgfXWHv2CD,HC II,Government,MOH,"[33.64679,1.19557]",BBqkdNv0rk1,Olok Subcounty,WiVj4bEhX4P,Pallisa District,adZ6T35ve4h,Eastern Region
IuVsQCPk19T,Olujobo HC III,IuVsQCPk19T,HC III,Government,MOH,"[31.40556,3.07374]",qD90qvNgVtw,Rigbo Subcounty,WcB3kLlgRTb,Arua District,pz9Uu65Irbg,Northern Region
b8XUrI7irw7,Oluko Solidale HC III,b8XUrI7irw7,HC III,Private Not For Profit,UCMB,"[30.97743,3.01761]",y5VwP02ADlq,Oluko Subcounty,WcB3kLlgRTb,Arua District,pz9Uu65Irbg,Northern Region
zfMY9GBN26I,Olung HC II,zfMY9GBN26I,HC II,Government,MOH,"[33.36541,2.92498]",d7O2HPDA9UV,Lukole Subcounty,ztIyIYAzFKp,Agago District,pz9Uu65Irbg,Northern Region
bElmoH9BgXH,Oluro HC II,bElmoH9BgXH,HC II,Government,MOH,,YM9WoJWgiZk,Ogor Subcounty,aXjub1BYn1y,Otuke District,pz9Uu65Irbg,Northern Region
dqVrBFvJg3n,Oluvu HC III,dqVrBFvJg3n,HC III,Government,MOH,"[30.87409,3.19998]",aZAE15J3Zb1,Oluvu Subcounty,WyR8Eetj7Uw,Maracha District,pz9Uu65Irbg,Northern Region
dmsWl4MpI5p,Olwa HC II,dmsWl4MpI5p,HC II,Government,MOH,"[33.48447,2.17671]",gDG5yDZ6hiy,Morungatuny Subcounty,TM6ccNxawqy,Amuria District,adZ6T35ve4h,Eastern Region
vnIPfEUR8ce,Olwal HC III,vnIPfEUR8ce,HC III,Government,MOH,"[32.077516,2.84599]",COaxzbRhsBA,Lamogi Subcounty,C0RSe3EWBqU,Amuru District,pz9Uu65Irbg,Northern Region
HtstkAl6IEl,Omagoro HC II,HtstkAl6IEl,HC II,Government,MOH,"[33.65351,1.53528]",KqoeThv6f1S,Kyere Subcounty,zJfpujxC1kD,Serere District,adZ6T35ve4h,Eastern Region
Ef6JLaKeELl,Omarari HC II,Ef6JLaKeELl,HC II,Government,MOH,"[33.32662,2.28928]",VvSRAEcdc5o,Omoro Subcounty,p7EEgDEX3jT,Alebtong District,pz9Uu65Irbg,Northern Region
euiuFSL4Sdb,Omatenga HC III,euiuFSL4Sdb,HC III,Government,MOH,"[33.915642,1.577301]",aYNxEpv8ugI,Kumi Subcounty,saT18HClZoz,Kumi District,adZ6T35ve4h,Eastern Region
Ky0NwC20tvu,Ombachi HC II,Ky0NwC20tvu,HC II,,,,fOv2DdPf7fG,Kochi SubCounty,W1JM2Qdhcv3,Yumbe District,pz9Uu65Irbg,Northern Region
dZRCLuC8sry,Ombidriondrea HC III,dZRCLuC8sry,HC III,Government,MOH,"[30.96583,3.0714]",dBVKGKNutFP,Manibe Subcounty,WcB3kLlgRTb,Arua District,pz9Uu65Irbg,Northern Region
llrIsQDjqka,Omee 1 HC II,llrIsQDjqka,HC II,Government,MOH,"[31.77053,2.8556]",acwO6ZCWJj7,Amuru Subcounty,C0RSe3EWBqU,Amuru District,pz9Uu65Irbg,Northern Region
a6TwV9wJBeG,Omega Medical Clinic HC II NR,a6TwV9wJBeG,Clinic,,,,oweSpFBNbmi,Rubaga Division,aXmBzv61LbM,Kampala District,VA90IqaI4Ji,Central Region
ZEEW8QXy1sS,Omel HC II,ZEEW8QXy1sS,HC II,Government,MOH,"[32.58224,2.87952]",OKIyTJatyIr,Paicho Subcounty,Gwk4wkLz7EW,Gulu District,pz9Uu65Irbg,Northern Region
w81TXtlX3EM,Omiito HC II,w81TXtlX3EM,HC II,Government,MOH,"[33.81549,1.63662]",GLh6NlOfYQP,Kapir Subcounty,aj4hsYK3dVm,Ngora District,adZ6T35ve4h,Eastern Region
MObVMkBVjki,Omiya Anyima HC III,MObVMkBVjki,HC III,Government,MOH,"[33.20667,3.27004]",ZZmXu10Dnci,Omiya Anyima Subcounty,pnTVIF5v27r,Kitgum District,pz9Uu65Irbg,Northern Region
p1eA0ghuSyR,Omiya-Pacwa HC II,p1eA0ghuSyR,HC II,Government,MOH,"[33.29846,3.14856]",Lv7IX3Xxutv,Omiya Pachwa Subcounty,ztIyIYAzFKp,Agago District,pz9Uu65Irbg,Northern Region
VHA8sLMGFZd,Omodoi HC II,VHA8sLMGFZd,HC II,Government,MOH,,Y5n22tapmhs,Omodoi Subcounty,cSrCFjPKqcG,Katakwi District,adZ6T35ve4h,Eastern Region
NakSNp1eO2L,Omoro HC III,NakSNp1eO2L,HC III,Government,MOH,"[33.39233,2.23926]",VvSRAEcdc5o,Omoro Subcounty,p7EEgDEX3jT,Alebtong District,pz9Uu65Irbg,Northern Region
GzIVh9blxSN,Omot HC II,GzIVh9blxSN,HC II,Government,MOH,"[33.20884,2.69511]",XAYIceYQGIl,Omot Subcounty,ztIyIYAzFKp,Agago District,pz9Uu65Irbg,Northern Region
ehmgxZaocae,Omugo HC IV,ehmgxZaocae,HC IV,Government,MOH,"[31.11511,3.27945]",J9Q5GilXIvy,Omugo Subcounty,WcB3kLlgRTb,Arua District,pz9Uu65Irbg,Northern Region
du8F23WZLMw,Ongako HC III,du8F23WZLMw,HC III,Government,MOH,"[32.22965,2.67768]",hMmTuvB73LZ,Ongako Subcounty,S5fvUXgY54J,Omoro District,pz9Uu65Irbg,Northern Region
ajeoW3M1Tvm,Ongalo HC II,ajeoW3M1Tvm,HC II,Government,MOH,"[33.43501,2.98809]",qUDCFxUq4uw,Lapono Subcounty,ztIyIYAzFKp,Agago District,pz9Uu65Irbg,Northern Region
aD1S6DBzHJV,Ongica HC III,aD1S6DBzHJV,HC III,Government,MOH,"[32.96517,2.29165]",coddMVYZDBC,Ngetta Subcounty,Lj8t70RYnEt,Lira District,pz9Uu65Irbg,Northern Region
AhLbPGoqf7F,Ongino General Hospital,AhLbPGoqf7F,Clinic,Private For Profit,Local Government,,vhBrLJBbs8t,Ongino Subcounty,saT18HClZoz,Kumi District,adZ6T35ve4h,Eastern Region
aUnXgTzSLvC,Ongino HC III,aUnXgTzSLvC,HC III,Government,UPMB,"[34.00775,1.56094]",vhBrLJBbs8t,Ongino Subcounty,saT18HClZoz,Kumi District,adZ6T35ve4h,Eastern Region
Qii1Y1bj3Be,Ongongoja HC II,Qii1Y1bj3Be,HC II,Government,MOH,"[33.96969,2.2047]",bZBIK5nSjJS,Ongongoja Subcounty,cSrCFjPKqcG,Katakwi District,adZ6T35ve4h,Eastern Region
l5C1tkKf11K,Ongutoi HC III,l5C1tkKf11K,HC III,Private Not For Profit,CSO,"[33.80838,1.88767]",YjjiR3pf7GD,Abarilela Subcounty,TM6ccNxawqy,Amuria District,adZ6T35ve4h,Eastern Region
eVHfL3dqKR5,Onudapet HC II,eVHfL3dqKR5,HC II,Government,,,nmK9yk0kjmP,Kotomor Subcounty,ztIyIYAzFKp,Agago District,pz9Uu65Irbg,Northern Region
OVzIKrDVLHO,Onywako HC II,OVzIKrDVLHO,HC II,Government,MOH,"[32.97643,2.18911]",TibfOVehAIg,Barr Subcounty,Lj8t70RYnEt,Lira District,pz9Uu65Irbg,Northern Region
IcWeMuhOQuT,Opedede HC II,IcWeMuhOQuT,HC II,Government,MOH,"[34.17108,0.65011]",QjFwopEl3i9,Osukuru Subcounty,KhT80mlwJ3Y,Tororo District,adZ6T35ve4h,Eastern Region
Ou84k4CKFRi,Opejo HC II,Ou84k4CKFRi,HC II,Government,MOH,"[31.68416,3.43159]",xiFyzChOvlR,Ciforo Subcounty,QYiQ2KqgCxj,Adjumani District,pz9Uu65Irbg,Northern Region
SydoosT4IoO,Openzinzi HC III,SydoosT4IoO,HC III,Government,MOH,"[31.80622,3.33542]",fSyCcycKdSl,Adropi Subcounty,QYiQ2KqgCxj,Adjumani District,pz9Uu65Irbg,Northern Region
entiI5xAKZs,Opeta HC II GOVT (Katakwi),entiI5xAKZs,HC II,Government,MOH,"[34.115129,1.6709052]",VnaniHNwR1S,Magoro Subcounty,cSrCFjPKqcG,Katakwi District,adZ6T35ve4h,Eastern Region
dNP6KRlY9L6,Opeta HC III GOVT (Kole),dNP6KRlY9L6,HC III,Government,MOH,"[32.71546,2.44086]",XTljgoHlV32,Aboke Subcounty,Y4LV8xqkv6J,Kole District,pz9Uu65Irbg,Northern Region
EBlM7SeLR4c,Opia HC III,EBlM7SeLR4c,HC III,Government,MOH,"[30.90172,2.82491]",EAw4NikTilV,Vurra Subcounty,WcB3kLlgRTb,Arua District,pz9Uu65Irbg,Northern Region
MbcT4a29kOV,Opiro HC II,MbcT4a29kOV,HC II,Government,MOH,,FH7eT8hveKf,Moyo Subcounty,W0kQBddyGyh,Moyo District,pz9Uu65Irbg,Northern Region
IdUFKUbqQiQ,Opit HC III,IdUFKUbqQiQ,HC III,Government,UCMB,"[32.47537,2.61763]",BNUP3lD4kG4,Lakwana Subcounty,S5fvUXgY54J,Omoro District,pz9Uu65Irbg,Northern Region
aPv6owroI2J,Opopongo HC II,aPv6owroI2J,HC II,Government,MOH,"[33.87385,2.61135]",QT2X5ExHi0h,Nyakwae Subcounty,NREoMszwQZW,Abim District,pz9Uu65Irbg,Northern Region
d36gK81XRga,Opot HC II,d36gK81XRga,HC II,Government,MOH,"[33.69329,1.38761]",uodLpKe7cyL,Kobuin Subcounty,aj4hsYK3dVm,Ngora District,adZ6T35ve4h,Eastern Region
ZWB6dIsmvva,Opul Medical Clinic,ZWB6dIsmvva,HC II,Private For Profit,Local Government,,K6dmqTjBz5B,Bujumba Subcounty,JrHILmtK0OU,Kalangala District,VA90IqaI4Ji,Central Region
